問題ID,問題文,選択肢,正解,解説,正答率,テーマ,画像URL
116A1,睡眠時無呼吸症候群による高血圧について、正しくないのはどれか。,"ａ: 夜間高血圧となることが多い。
ｂ: 肥満患者では減量を推奨する。
ｃ: α遮断薬が第一選択薬である。
ｄ: 家庭血圧では早朝に高血圧となることが多い。
ｅ: 持続的気道陽圧法〈CPAP〉で降圧が期待される。",c,【選択肢考察】ａ　特に閉塞型の睡眠時無呼吸症候群において、交感神経賦活化等のメカニズムに起因する夜間高血圧がみられやすい。ｂ　減量や禁酒が有効な指導である。ｃ　誤り。治療の第一選択は持続的気道陽圧法〈CPAP〉であり、薬物治療ではない。ｄ　夜間の交感神経賦活化等により、早朝の高血圧を認めやすい。ｅ　治療の第一選択となる方法であり、降圧を狙う。,88%,睡眠時無呼吸症候群〈SAS〉による高血圧について,
116A2,妊娠末期の腟分泌物細菌培養検査でB群連鎖球菌〈GBS〉が陽性となった妊婦に対する母子感染予防対策として、ペニシリン系抗菌薬の投与を開始する適切な時期はどれか。,"ａ: 陽性判明の時点
ｂ: 妊娠37週時
ｃ: 陣痛開始時
ｄ: 子宮口全開大時
ｅ: 児頭排臨時",c,妊娠中にGBSが陽性となった場合、絨毛膜羊膜炎のような炎症症状がすでに存在すればその場で抗菌薬投与を行う。しかしながら、本問で問われているような、特に母体に症状がなく、分娩時の母子感染を予防する意図である場合、抗菌薬は破水時ないし陣痛開始時の投与開始でよい。,51%,GBS陽性妊婦にペニシリン系抗菌薬を投与するタイミング,
116A3,中心性漿液性脈絡網膜症について誤っているのはどれか。,"ａ: 夜盲を自覚する。
ｂ: 変視症を自覚する。
ｃ: 自然治癒することが多い。
ｄ: 蛍光眼底造影が有用である。
ｅ: 光干渉断層計〈OCT〉が有用である。",a,【選択肢考察】ａ　誤り。夜盲をみる疾患として有名なのは網膜色素変性症である。ｂ　「ものがゆがんで見える」といった訴えで来院することが多い。ｃ　数か月の経過で自然軽快することが多いため、原則としては経過観察とする。ｄ　蛍光眼底造影で黄斑部に限局した液体貯留を確認できる。ｅ　光干渉断層法〈OCT〉で黄斑部に限局した液体貯留を確認できる。,89%,中心性漿液性脈絡網膜症について,
116A4,単剤の内服で低血糖の原因になる可能性が高いのはどれか。,"ａ: DPP-4阻害薬
ｂ: SGLT2阻害薬
ｃ: ビグアナイド薬
ｄ: スルホニル尿素薬
ｅ: αグルコシダーゼ阻害薬",d,【選択肢考察】ａ　インクレチン関連薬。血糖上昇に応じてインスリン分泌が促進されるため、単剤使用にて低血糖とはならない。ｂ　近位尿細管からの糖再吸収を低下させる。脱水や尿路/性器感染、薬疹の副作用が知られる。ｃ　糖新生を抑制し、インスリン抵抗性を改善させる。乳酸アシドーシスの副作用が有名。ｄ　正しい。膵β細胞からのインスリン分泌を促進するため、低血糖の副作用が有名。ｅ　腸からの糖再吸収を遅らせる。腹部膨満や放屁、下痢の副作用が知られる。,88%,単剤内服で低血糖の原因になる可能性が高い経口血糖降下薬,
116A5,我が国での成人心臓移植について正しいのはどれか。,"ａ: 10年生存率は約10％である。
ｂ: 年間約1,000例行われている。
ｃ: 原疾患は拡張型心筋症が最も多い。
ｄ: 原則として術後に免疫抑制薬は用いられない。
ｅ: 2015年以降の平均待機期間は1年以下である。",c,【選択肢考察】ａ　10年生存率は90％程度。ｂ　年間100件未満である。ｃ　正しい。拡張型心筋症〈DCM〉が適応となる疾患の過半数を占める。ｄ　術後はシクロスポリンは副腎皮質ステロイドといった免疫抑制薬の投与が必須となる。ｅ　平均待機期間は数年と長い。,97%,我が国での成人心臓移植について,
116A6,高カリウム血症の原因となるのはどれか。,"ａ: β刺激薬
ｂ: インスリン
ｃ: ループ利尿薬
ｄ: グリチルリチン
ｅ: レニン・アンジオテンシン系抑制薬",e,【選択肢考察】ａ　カリウムを細胞内へ移動させる作用があるため、むしろ血中カリウムを低下させる働きをもつ。ｂ　カリウムを細胞内へ移動させる作用があるため、むしろ血中カリウムを低下させる働きをもつ。ｃ　カリウムを尿中へ捨てる作用があるため、むしろ血中カリウムを低下させる働きをもつ。ｄ　アルドステロン様作用があるため、むしろ血中カリウムを低下させる働きをもつ。ｅ　正しい。アルドステロンを抑制することで、高カリウム血症の原因となる。,96%,高カリウム血症の原因となる薬剤,
116A7,逆流性食道炎の誘因とならないのはどれか。,"ａ: 肥満
ｂ: 高齢
ｃ: 亀背
ｄ: 萎縮性胃炎
ｅ: カルシウム拮抗薬",d,【選択肢考察】ａ　肥満者では皮下脂肪や内臓脂肪の圧迫により胃内圧が上昇し、胃液の逆流がしやすくなる。ｂ　加齢により下部食道括約筋〈LES〉の機能が低下し、胃液の逆流がしやすくなる。ｃ　前屈姿勢になることで、胃液の逆流がしやすくなる。ｄ　誤り。胃粘膜が萎縮することで、むしろ胃酸の分泌は低下する。よって逆流性食道炎の誘因とはならない。ｅ　カルシウム拮抗薬の服用により下部食道括約筋〈LES〉が弛緩し、胃液の逆流がしやすくなる。,85%,逆流性食道炎の誘因,
116A8,心不全で来院した患者において心サルコイドーシスの所見に合致しないのはどれか。,"ａ: 房室ブロック
ｂ: 持続性心室頻拍
ｃ: 左室駆出率の低下
ｄ: 心室中隔の非対称性肥大
ｅ: FDG-PETでの心筋への異常集積",d,【選択肢考察】ａ　房室ブロックや脚ブロックといった、刺激伝導系の障害をみる。ｂ　心室頻拍〈VT〉や心室細動〈VF〉といった致死的不整脈の原因ともなる。ｃ　左室収縮不全をきたし、駆出率が低下する。ｄ　誤り。心室中隔基部の菲薄化をみる。ｅ　慢性炎症を反映し、FDG-PETにて心筋への異常集積をみる。,74%,心サルコイドーシスの所見,
116A9,骨壊死のリスクファクターでないのはどれか。,"ａ: 飲酒
ｂ: 減圧症
ｃ: 放射線照射
ｄ: 有機リン剤
ｅ: 副腎皮質ステロイド",d,【選択肢考察】ａ　アルコール多飲は大腿骨壊死症の原因の1つ。ｂ　減圧症では慢性期に骨壊死をみることがある。ｃ　放射線被曝による晩期障害の1つに骨壊死がある。ｄ　誤り。有機リンの作用機序はコリンエステラーゼ活性の抑制であり、アセチルコリン作用が増強する。これは骨壊死の原因とはならない。ｅ　副腎皮質ステロイド内服は大腿骨壊死症の原因の1つ。,83%,骨壊死のリスクファクター,
116A10,全身性強皮症による続発性Raynaud現象の特徴はどれか。,"ａ: 片側性である。
ｂ: 家族歴がある。
ｃ: 若年発症が多い。
ｄ: 手指腫脹を伴う。
ｅ: 血圧の左右差を伴う。",d,【選択肢考察】ａ　両側性である。ｂ　遺伝性疾患ではないため、家族歴はない。ｃ　中年女性に好発する。ｄ　正しい。ソーセージ様手指と呼ばれる。ｅ　左右差は認めず、原則対称性の障害をみる。,88%,全身性硬化症〈SSc〉による続発性Raynaud現象の特徴,
